semester,crn,full_number,number,title,seats_available,seats_total,location,day_of_week,start,end
Spring%202016,25667,PHP1530-S01,PHP1530,"Case Studies in Public Health: The Role of Governments, Communities and Professions",10,40,121 South Main Street 241,T,54000,62400
Spring%202016,25737,PHP1400-S01,PHP1400,HIV/AIDS in Africa: A Multidisciplinary Approach to Support HIV/AIDS Care and Treatment Programs,7,25,Smith-Buonanno Hall 101,T,57600,66600
Spring%202016,24844,PHP1600-S01,PHP1600,"Obesity in the 21st Century: Causes, Consequences and Countermeasures",2,30,Barus & Holley 157,M,54000,63000
Spring%202016,26640,PHP2018-S01,PHP2018,Epidemiology of Cardio-Metabolic Health,11,20,121 South Main Street 247,T,34200,43200
Spring%202016,25669,PHP2060-S01,PHP2060,Qualitative Methods in Health Research,-6,15,121 South Main Street 375,F,32400,41400
Spring%202016,25723,PHP2040-S01,PHP2040,Applied Research Methods,-9,40,121 South Main Street 245,M,63600,73800
Spring%202016,24843,PHP1520-S01,PHP1520,Emergency Medical Systems: An Anatomy of Critical Performance,0,40,Smith-Buonanno Hall 201,W,54000,63000
Spring%202016,25670,PHP2080-S01,PHP2080,Public Health Law and Ethics,28,40,121 South Main Street 259,M,54000,63000
Spring%202016,25725,PHP2180-S01,PHP2180,Interpretation and Application of Epidemiology,33,40,121 South Main Street 259,W,52200,61200
Spring%202016,26678,PHP2160-S01,PHP2160,The Epidemiology of Psychiatric Disorders: A Life Course Approach,14,20,121 South Main Street 247,R,43200,52200
Spring%202016,25726,PHP2200-S01,PHP2200,Intermediate Methods in Epidemiologic Research,975,999,121 South Main Street 241,M,46800,51600
Spring%202016,25724,PHP2130-S01,PHP2130,Human Biology for Public Health,10,20,121 South Main Street 259,F,34200,42600
Spring%202016,25728,PHP2220E-S01,PHP2220E,Topics in Environmental and Occupational Epidemiology,2,20,121 South Main Street 259,R,30600,39000
Spring%202016,26313,PHP2260-S01,PHP2260,Applied Epidemiologic Analysis Using SAS,-1,20,121 South Main Street 251,R,52200,61200
Spring%202016,25671,PHP2350-S01,PHP2350,Economics of Medical Therapies: Health Policy and Practice,27,40,121 South Main Street 245,W,44400,53400
Spring%202016,26278,PHP2365-S01,PHP2365,Public Health Issues in LGBT Populations,6,20,121 South Main Street 636,W,46800,55800
Spring%202016,25556,PHP2360-S01,PHP2360,Designing and Evaluating Public Health Interventions,16,40,121 South Main Street 331,W,54000,63000
Spring%202016,26231,PHP2440-S01,PHP2440,Introduction to Pharmacoepidemiology,34,40,121 South Main Street 331,R,57600,66600
Spring%202016,24847,PHP2380-S01,PHP2380,Health Communication,9,20,121 South Main Street 331,M,52200,61200
Spring%202016,25672,PHP2415-S01,PHP2415,Introduction to Evidence-based Medicine,9,15,121 South Main Street 245,W,32400,41400
Spring%202016,25616,PHP2508-S01,PHP2508,BioStatistics and Data Analysis II,36,80,121 South Main Street 245,R,46800,51600
Spring%202016,25753,PHP2480-S01,PHP2480,Selected Topics in Global Health Economics,2,8,121 South Main Street 718,F,54000,63000
Spring%202016,25673,PHP2470-S01,PHP2470,"Topics in Clinical, Translational and Health Services Research",32,40,121 South Main Street 259,T,59400,64800
Spring%202016,25677,PHP2620-S01,PHP2620,"Statistical Methods in Bioinformatics, I",985,999,121 South Main Street 331,T,32400,37200
Spring%202016,25626,PHP2560-S01,PHP2560,Statistical Computing,974,999,121 South Main Street 331,T,52200,57000
Spring%202016,25660,PHP2604-S01,PHP2604,Statistical Methods for Spatial Data,993,999,121 South Main Street 718,T,46800,51600
Spring%202016,25659,PHP2530-S01,PHP2530,Bayesian Statistical Methods,982,999,121 South Main Street 241,M,32400,37200
Spring%202016,26280,PHP2605-S01,PHP2605,Generalized Linear Models,989,999,121 South Main Street 259,M,46800,51600
Spring%202016,25658,PHP2580-S01,PHP2580,Statistical Inference II,994,999,121 South Main Street 331,M,37800,42600
Spring%202016,25617,PHP2511-S01,PHP2511,Applied Regression Analysis,940,999,121 South Main Street 375,M,37800,42600
Spring%202016,26284,PHP2630-S01,PHP2630,Statistical Foundations of Data Science,991,999,121 South Main Street 331,T,37800,42600
Spring%202016,26434,PHP2950-S01,PHP2950,Doctoral Seminar in Public Health,995,999,121 South Main Street 718,M,43200,46200
Spring%202016,26683,PHP2950-S04,PHP2950,Doctoral Seminar in Public Health,999,999,121 South Main Street 408,T,54000,57000
Spring%202016,26682,PHP2950-S03,PHP2950,Doctoral Seminar in Public Health,997,999,121 South Main Street 241,M,43200,46200
Spring%202016,26681,PHP2950-S02,PHP2950,Doctoral Seminar in Public Health,999,999,121 South Main Street 431,F,46800,49800
Spring%202016,24777,APMA0340-S01,APMA0340,"Methods of Applied Mathematics I, II",914,999,Smith-Buonanno Hall 106,M,43200,46200
Spring%202016,24776,APMA0330-S01,APMA0330,"Methods of Applied Mathematics I, II",937,999,CIT Center (Thomas Watson CIT) 165,M,43200,46200
Spring%202016,24778,APMA0350-S01,APMA0350,"Methods of Applied Mathematics I, II",946,999,MacMillan Hall 115,M,36000,39000
