date,temperature,wind speed,rain,snow
"3:51 PM EDT on April 19, 2015",13.3,29.6,0,0
"4:51 PM EDT on April 19, 2015",10.6,24.1,0,0
"5:51 PM EDT on April 19, 2015",10.0,25.9,0,0
"6:51 PM EDT on April 19, 2015",8.9,18.5,0,0
"7:51 PM EDT on April 19, 2015",7.2,20.4,0,0
"8:51 PM EDT on April 19, 2015",6.7,11.1,0,0
"9:51 PM EDT on April 19, 2015",6.7,9.3,0,0
"10:51 PM EDT on April 19, 2015",6.1,7.4,0,0
"11:51 PM EDT on April 19, 2015",5.6,5.6,0,0
"12:51 AM EDT on April 20, 2015",5.6,5.6,0,0
"1:51 AM EDT on April 20, 2015",5.6,9.3,0,0
"2:51 AM EDT on April 20, 2015",5.6,5.6,0,0
"3:51 AM EDT on April 20, 2015",5.6,9.3,0,0
"4:51 AM EDT on April 20, 2015",5.6,9.3,0,0
"5:51 AM EDT on April 20, 2015",6.1,7.4,0,0
"6:16 AM EDT on April 20, 2015",6.1,5.6,0,0
"6:33 AM EDT on April 20, 2015",6.1,9.3,0,0
"6:51 AM EDT on April 20, 2015",5.6,18.5,0,0
"7:10 AM EDT on April 20, 2015",5.6,16.7,0,0
"7:32 AM EDT on April 20, 2015",5.6,18.5,0,0
"7:40 AM EDT on April 20, 2015",5.6,13.0,1,0
"7:44 AM EDT on April 20, 2015",5.6,9.3,1,0
"7:51 AM EDT on April 20, 2015",6.1,11.1,1,0
"8:30 AM EDT on April 20, 2015",6.7,16.7,0,0
"8:51 AM EDT on April 20, 2015",6.7,13.0,0,0
"9:51 AM EDT on April 20, 2015",7.8,14.8,0,0
"10:04 AM EDT on April 20, 2015",7.8,14.8,0,0
"10:51 AM EDT on April 20, 2015",8.3,13.0,1,0
"11:51 AM EDT on April 20, 2015",9.4,25.9,1,0
"12:51 PM EDT on April 20, 2015",8.9,25.9,1,0
"1:51 PM EDT on April 20, 2015",9.4,27.8,1,0
"2:04 PM EDT on April 20, 2015",10.0,25.9,1,0
"2:41 PM EDT on April 20, 2015",10.0,20.4,1,0
"2:51 PM EDT on April 20, 2015",10.0,22.2,1,0
"2:58 PM EDT on April 20, 2015",10.0,20.4,1,0
"3:06 PM EDT on April 20, 2015",10.0,20.4,1,0
"3:51 PM EDT on April 20, 2015",10.6,22.2,1,0
"4:10 PM EDT on April 20, 2015",10.6,20.4,1,0
"4:17 PM EDT on April 20, 2015",10.6,20.4,1,0
"4:51 PM EDT on April 20, 2015",11.7,27.8,1,0
"5:44 PM EDT on April 20, 2015",12.2,24.1,1,0
"5:51 PM EDT on April 20, 2015",12.2,35.2,1,0
"6:51 PM EDT on April 20, 2015",12.2,38.9,1,0
"6:58 PM EDT on April 20, 2015",12.2,44.4,1,0
"7:28 PM EDT on April 20, 2015",11.7,27.8,1,0
"7:41 PM EDT on April 20, 2015",12.2,38.9,1,0
"7:51 PM EDT on April 20, 2015",12.2,31.5,1,0
"8:51 PM EDT on April 20, 2015",13.3,37.0,0,0
"9:51 PM EDT on April 20, 2015",12.2,29.6,1,0
"10:25 PM EDT on April 20, 2015",12.2,35.2,0,0
"10:51 PM EDT on April 20, 2015",12.2,27.8,1,0
"11:47 PM EDT on April 20, 2015",12.0,27.8,0,0
"11:51 PM EDT on April 20, 2015",11.7,27.8,0,0
