date,temperature,wind speed,rain,snow
2:51 PM May 01 2015,13.3,11.1,0,0
3:51 PM May 01 2015,13.3,11.1,0,0
4:51 PM May 01 2015,15.0,22.2,0,0
5:51 PM May 01 2015,13.9,22.2,0,0
6:51 PM May 01 2015,12.2,16.7,0,0
7:51 PM May 01 2015,10.0,13.0,0,0
8:30 AM May 02 2015,6.7,7.4,0,0
8:51 AM May 02 2015,6.7,5.6,0,0
9:51 AM May 02 2015,9.4,0.0,0,0
10:51 AM May 02 2015,11.1,5.6,0,0
11:51 AM May 02 2015,14.4,0.0,0,0
12:51 PM May 02 2015,14.4,14.8,0,0
1:51 PM May 02 2015,15.0,16.7,0,0
2:51 PM May 02 2015,15.0,22.2,0,0
3:51 PM May 02 2015,14.4,24.1,0,0
4:51 PM May 02 2015,13.3,18.5,0,0
5:51 PM May 02 2015,12.8,22.2,0,0
6:51 PM May 02 2015,11.7,18.5,0,0
7:51 PM May 02 2015,10.0,11.1,0,0
8:51 AM May 03 2015,12.2,9.3,0,0
9:51 AM May 03 2015,14.4,9.3,0,0
10:51 AM May 03 2015,15.6,9.3,0,0
11:51 AM May 03 2015,15.6,20.4,0,0
12:51 PM May 03 2015,15.6,20.4,0,0
1:51 PM May 03 2015,15.0,25.9,0,0
2:51 PM May 03 2015,13.9,25.9,0,0
3:51 PM May 03 2015,11.7,27.8,0,0
4:51 PM May 03 2015,12.8,25.9,0,0
5:51 PM May 03 2015,12.8,22.2,0,0
6:51 PM May 03 2015,12.2,14.8,0,0
7:51 PM May 03 2015,11.1,16.7,0,0
8:51 AM May 04 2015,12.2,9.3,0,0
9:51 AM May 04 2015,13.9,14.8,0,0
10:51 AM May 04 2015,16.1,14.8,0,0
11:51 AM May 04 2015,17.8,16.7,0,0
12:51 PM May 04 2015,18.9,18.5,0,0
1:51 PM May 04 2015,19.4,27.8,0,0
2:51 PM May 04 2015,23.9,24.1,0,0
3:51 PM May 04 2015,26.7,33.3,0,0
4:51 PM May 04 2015,26.1,37.0,0,0
5:51 PM May 04 2015,25.0,27.8,0,0
6:51 PM May 04 2015,23.3,35.2,0,0
7:51 PM May 04 2015,21.1,18.5,0,0
8:51 AM May 05 2015,20.0,5.6,0,0
9:51 AM May 05 2015,21.7,16.7,0,0
10:51 AM May 05 2015,22.2,16.7,0,0
11:51 AM May 05 2015,22.8,16.7,0,0
12:51 PM May 05 2015,22.8,9.3,0,0
1:51 PM May 05 2015,24.4,11.1,0,0
2:51 PM May 05 2015,24.4,14.8,0,0
3:51 PM May 05 2015,23.9,24.1,0,0
4:51 PM May 05 2015,22.2,22.2,0,0
5:51 PM May 05 2015,20.6,25.9,0,0
6:51 PM May 05 2015,18.3,24.1,0,0
7:51 PM May 05 2015,16.7,18.5,0,0
8:51 AM May 06 2015,17.2,13.0,0,0
9:51 AM May 06 2015,18.3,14.8,0,0
10:51 AM May 06 2015,18.9,16.7,0,0
11:51 AM May 06 2015,18.9,14.8,0,0
12:51 PM May 06 2015,21.1,11.1,0,0
1:51 PM May 06 2015,21.7,18.5,0,0
2:51 PM May 06 2015,21.1,13.0,0,0
3:51 PM May 06 2015,20.6,11.1,0,0
4:51 PM May 06 2015,20.0,22.2,0,0
5:51 PM May 06 2015,18.3,18.5,0,0
6:51 PM May 06 2015,17.2,16.7,0,0
7:51 PM May 06 2015,15.0,11.1,0,0
8:51 AM May 07 2015,20.0,0.0,0,0
9:51 AM May 07 2015,22.8,0.0,0,0
10:51 AM May 07 2015,25.0,5.6,0,0
11:51 AM May 07 2015,26.1,13.0,0,0
12:51 PM May 07 2015,25.6,24.1,0,0
1:51 PM May 07 2015,24.4,27.8,0,0
2:51 PM May 07 2015,25.6,25.9,0,0
3:51 PM May 07 2015,26.1,27.8,0,0
4:51 PM May 07 2015,26.7,24.1,0,0
5:51 PM May 07 2015,25.0,25.9,0,0
6:51 PM May 07 2015,23.3,24.1,0,0
7:51 PM May 07 2015,20.0,16.7,0,0
8:51 AM May 08 2015,17.2,11.1,0,0
9:51 AM May 08 2015,20.0,13.0,0,0
10:51 AM May 08 2015,22.2,16.7,0,0
11:51 AM May 08 2015,24.4,13.0,0,0
12:51 PM May 08 2015,25.0,13.0,0,0
1:51 PM May 08 2015,20.0,16.7,0,0
2:51 PM May 08 2015,20.6,16.7,0,0
3:51 PM May 08 2015,18.3,16.7,0,0
4:51 PM May 08 2015,17.8,18.5,0,0
5:51 PM May 08 2015,16.1,18.5,0,0
6:51 PM May 08 2015,16.1,9.3,0,0
7:51 PM May 08 2015,14.4,20.4,0,0
8:51 AM May 09 2015,10.6,7.4,0,0
9:29 AM May 09 2015,11.7,5.6,0,0
9:51 AM May 09 2015,12.8,5.6,0,0
10:51 AM May 09 2015,15.6,7.4,0,0
11:51 AM May 09 2015,17.8,16.7,0,0
12:10 PM May 09 2015,17.8,20.4,0,0
12:29 PM May 09 2015,18.9,16.7,0,0
12:47 PM May 09 2015,18.0,20.4,0,0
12:51 PM May 09 2015,18.3,16.7,0,0
